Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
12,500,7,1,2916425.0,0.004664001,1,0.323352833,69.329494783556,Cluster
12,500,8,6,2877787.5,0.007567043,1,0.499033875,65.94833345072838,Cluster
12,500,9,5,2875600.0,0.006119958,1,0.727494542,118.87247298102372,Cluster
12,500,10,3,2847950.0,0.008036958,1,0.32444175,40.36872533115141,Cluster
12,500,11,0,2904212.5,0.007465333,1,0.232587,31.15560953543532,Cluster
12,500,12,0,2841475.0,0.007693292,1,0.387721792,50.39738411072919,Cluster
12,500,13,1,2898350.0,0.008515333,1,0.578571792,67.94470539202636,Cluster
12,500,14,3,2902331.25,0.010689332,1,0.661819292,61.913999116128124,Cluster
12,500,15,5,2777425.0,0.007512375,1,0.480020458,63.89729719296494,Cluster
12,500,16,1,2872581.25,0.00443575,1,0.184129584,41.510361043791924,Cluster
12,500,17,3,2898393.75,0.015206375,1,0.854204417,56.17409915249362,Cluster
12,500,18,5,2869431.25,0.008749792,1,0.317319042,36.265895463572164,Cluster
12,500,19,4,2902550.0,0.00832175,1,0.500025625,60.08659536756092,Cluster
12,1000,0,3,3343073.32,0.01633275,1,1.041839875,63.78839295280954,Cluster
12,1000,1,0,3317642.65,0.012747458,1,0.961732542,75.44504496504322,Cluster
12,1000,2,2,3193394.65,0.017341708,1,0.755844584,43.585359873433454,Cluster
12,1000,3,0,3287619.44,0.010784791,1,0.987970333,91.60774028907932,Cluster
12,1000,4,3,3298248.24,0.009805708,1,0.331026375,33.75853890407505,Cluster
12,1000,5,5,3285870.58,0.012303167,1,0.886750833,72.07500580947979,Cluster
12,1000,6,1,3230944.42,0.015985833,1,0.662927666,41.4696979506792,Cluster
12,1000,7,4,3437576.38,0.014450416,1,4.003483042,277.0496740024647,Cluster
12,1000,8,2,3322406.54,0.016584291,1,2.852015334,171.97089305777374,Cluster
12,1000,9,3,3399856.18,0.015776333,1,2.323797917,147.29645456900533,Cluster
12,1000,10,6,3428036.22,0.013537458,1,1.4214425,105.00069510834308,Cluster
12,1000,11,6,3288054.09,0.014167125,1,1.384552042,97.72992346718195,Cluster
12,1000,12,5,3284348.41,0.011601084,1,0.879733125,75.8319761325752,Cluster
12,1000,13,5,3412286.99,0.017178667,1,0.624109417,36.330491591693345,Cluster
12,1000,14,6,3446855.93,0.012312375,1,1.422924875,115.56867582412005,Cluster
12,1000,15,2,3291336.97,0.013743792,1,0.938783584,68.30600928768422,Cluster
12,1000,16,5,3376254.0,0.012451625,1,0.685133334,55.023608083282305,Cluster
12,1000,17,3,3453232.37,0.011806166,1,2.19035725,185.52655027889662,Cluster
12,1000,18,2,3327454.66,0.011988792,1,1.073754,89.56315198395302,Cluster
12,1000,19,4,3328570.65,0.01374725,1,1.58396775,115.22069868519158,Cluster
12,2500,0,0,4892025.34,0.010701124,1,1.02710975,95.98148287974236,Cluster
12,2500,1,1,4732832.9,0.011023291,1,1.380573333,125.24148487053459,Cluster
12,2500,2,5,4938942.56,0.017352418,1,13.734460042,791.5012214436051,Cluster
12,2500,3,1,4866506.33,0.016952584,1,5.002316875,295.07695552489224,Cluster
