Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
8,5000,12,6,5821821.89,0.004011,1,5862323.89,0.6908864259289502,Random
8,5000,13,4,5785933.87,0.004042709,1,5812085.71,0.4499561999748942,Random
8,5000,14,2,5764193.29,0.002967417,1,5820804.81,0.9725720385391098,Random
8,5000,15,3,5688610.14000001,0.004659375,1,5761809.0,1.270414552096227,Random
8,5000,16,5,5712866.91,0.004367084,1,5790685.7,1.3438614014226336,Random
8,5000,17,6,5749016.03,0.002830916,1,5833555.78,1.4491975938558694,Random
8,5000,18,0,5812709.52,0.003114166,1,5867576.62,0.9350896213776337,Random
8,5000,19,2,5639249.45,0.003380917,1,5766745.68,2.210886990251311,Random
12,500,0,0,2877306.25,0.003267959,1,2952425.0,2.5443067986485683,Clustered
12,500,1,5,2886450.0,0.009431124,1,2952425.0,2.2346037579278053,Clustered
12,500,2,3,2849000.0,0.004397666,1,2952425.0,3.5030525754252864,Clustered
12,500,3,6,2817368.75,0.002585916,1,2952425.0,4.574417639736827,Clustered
12,500,4,6,2888856.25,0.008992208,1,2952425.0,2.1531029577381307,Clustered
12,500,5,3,2829400.0,0.009730333,1,2952425.0,4.166913638788453,Clustered
12,500,6,6,2873631.25,0.008046709,1,2952425.0,2.6687807480291625,Clustered
12,500,7,1,2916425.0,0.004664001,1,2952425.0,1.2193366469935731,Clustered
12,500,8,6,2877787.5,0.007567043,1,2952425.0,2.5280066386106337,Clustered
12,500,9,5,2875600.0,0.006119958,1,2952425.0,2.6020982751467017,Clustered
12,500,10,3,2847950.0,0.008036958,1,2952425.0,3.5386165609625984,Clustered
12,500,11,0,2904212.5,0.007465333,1,2952425.0,1.6329796692549345,Clustered
12,500,12,0,2841475.0,0.007693292,1,2952425.0,3.7579278051093596,Clustered
12,500,13,1,2898350.0,0.008515333,1,2952425.0,1.8315452551715965,Clustered
12,500,14,3,2902331.25,0.010689332,1,2952425.0,1.6966984766759527,Clustered
12,500,15,5,2777425.0,0.007512375,1,2952425.0,5.9273309228854245,Clustered
12,500,16,1,2872581.25,0.00443575,1,2952425.0,2.704344733566475,Clustered
12,500,17,3,2898393.75,0.015206375,1,2952425.0,1.8300634224408747,Clustered
12,500,18,5,2869431.25,0.008749792,1,2952425.0,2.8110366901784127,Clustered
12,500,19,4,2902550.0,0.00832175,1,2952425.0,1.6892893130223459,Clustered
12,1000,0,3,3343073.32,0.01633275,1,3498292.28,4.436992325867065,Clustered
12,1000,1,0,3317642.65,0.012747458,1,3501995.0,5.2642094006416364,Clustered
12,1000,2,2,3193394.65,0.017341708,1,3512495.0,9.084720405295952,Clustered
12,1000,3,0,3287619.44,0.010784791,1,3511389.0,6.372679301552749,Clustered
12,1000,4,3,3298248.24,0.009805708,1,3512495.0,6.099560568769487,Clustered
12,1000,5,5,3285870.58,0.012303167,1,3511418.68,6.423275620325632,Clustered
12,1000,6,1,3230944.42,0.015985833,1,3509870.0,7.946892050132913,Clustered
12,1000,7,4,3437576.38,0.014450416,1,3488870.0,1.47020725908389,Clustered
12,1000,8,2,3322406.54,0.016584291,1,3501995.0,5.128175796938601,Clustered
12,1000,9,3,3399856.18,0.015776333,1,3510342.64,3.147455144150827,Clustered
12,1000,10,6,3428036.22,0.013537458,1,3512495.0,2.4045238498560084,Clustered
12,1000,11,6,3288054.09,0.014167125,1,3511419.8,6.361122358539983,Clustered
12,1000,12,5,3284348.41,0.011601084,1,3512495.0,6.495285829588365,Clustered
12,1000,13,5,3412286.99,0.017178667,1,3512495.0,2.8529011429197704,Clustered
12,1000,14,6,3446855.93,0.012312375,1,3509870.0,1.7953391436150008,Clustered
12,1000,15,2,3291336.97,0.013743792,1,3510341.8,6.238846314054079,Clustered
12,1000,16,5,3376254.0,0.012451625,1,3511419.8,3.849320437277247,Clustered
12,1000,17,3,3453232.37,0.011806166,1,3499848.8,1.3319555404793402,Clustered
12,1000,18,2,3327454.66,0.011988792,1,3507180.88,5.12452097993873,Clustered
12,1000,19,4,3328570.65,0.01374725,1,3490357.08,4.635240071196388,Clustered
12,2500,0,0,4892025.34,0.010701124,1,5284576.22,7.428237642109359,Clustered
12,2500,1,1,4732832.9,0.011023291,1,5286590.4,10.474757038109098,Clustered
12,2500,2,5,4938942.56,0.017352418,1,5182344.93,4.696761278682392,Clustered
12,2500,3,1,4866506.33,0.016952584,1,5268557.86117701,7.6311495815515435,Clustered
12,2500,4,5,4847706.43,0.009474333,1,5242953.1,7.538626847529876,Clustered
12,2500,5,6,4846598.44,0.011388709,1,5263778.8,7.925491853875004,Clustered
12,2500,6,3,4784768.03,0.014133417,1,5311522.93,9.917210316928811,Clustered
12,2500,7,4,4701714.33,0.009787208,1,5284195.56,11.023082385694288,Clustered
12,2500,8,5,4432212.89,0.009430208,1,5229517.58702387,15.246237989566037,Clustered
12,2500,9,1,4864032.71,0.01037675,1,5264830.08,7.6127313495367375,Clustered
12,2500,10,4,4749797.5,0.012552166,1,5275876.48,9.971404410135099,Clustered
12,2500,11,6,4994257.94,0.016109918,1,5265322.62,5.148111513060518,Clustered
12,2500,12,5,4871946.66,0.016646542,1,5311006.96,8.266987848195171,Clustered
12,2500,13,2,4979301.13,0.01436175,1,5284208.32,5.77015839526933,Clustered
12,2500,14,3,4875461.99,0.013579666,1,5318809.6,8.335466830773552,Clustered
12,2500,15,6,4730308.03,0.009672125,1,5233451.32,9.613986244167453,Clustered
12,2500,16,6,4854926.88,0.010276001,1,5235922.54992288,7.2765719181329676,Clustered
12,2500,17,4,4738953.05,0.010044708,1,5267781.12,10.038915018549599,Clustered
12,2500,18,1,4809041.18,0.010184083,1,5318105.8,9.57229207436979,Clustered
12,2500,19,2,4918408.53,0.015642292,1,5212184.74,5.636335330662128,Clustered
12,5000,0,5,6916093.54,0.0226975,1,7522337.69,8.059251990321115,Clustered
12,5000,1,3,6505477.44,0.029019916,1,7491358.48,13.160243801335215,Clustered
12,5000,2,1,6586457.56,0.022655375,1,7467900.5594962,11.80308966989866,Clustered
12,5000,3,3,6675698.88,0.026065209,1,7561088.14,11.709812709576479,Clustered
12,5000,4,2,6446324.0,0.015497291,1,7513671.19,14.205401900212783,Clustered
12,5000,5,6,6661518.75,0.017815667,1,7599746.3,12.345511454770534,Clustered
12,5000,6,1,6268404.53,0.016381875,1,7351685.03,14.73513208984689,Clustered
12,5000,7,5,6626646.57,0.015886542,1,7335832.28336959,9.667419946027405,Clustered
12,5000,8,0,6844611.93,0.023612292,1,7566976.85,9.546281617076707,Clustered
