Instance,User,Simulation,DLX+ Objective,Gurobi Objective,Gurobi Objective Relative to DLX+ (%)
12,1000,12,3429348.65,3101221.69,90.43179934475312
12,1000,13,3419797.99,3329687.83,97.36504436041264
12,1000,14,3474949.45,3440810.17,99.01756038494315
12,1000,15,3436419.77,3272255.46,95.22280975586402
12,1000,16,3456888.33,3237335.8,93.64883938845661
12,1000,17,3460585.45,3425941.26,98.99889222501353
12,1000,18,3427890.13,3187357.82,92.98307994486393
12,1000,19,3377255.56,3262118.81,96.59081914428768
12,2500,0,5021029.58,4733989.98,94.28325216120317
12,2500,1,4886020.34,4526631.03,92.64453921614252
12,2500,2,5009260.9,4799536.16,95.81325979647016
12,2500,3,4962319.53,4762642.08,95.97612671266253
12,2500,4,4847706.43,4800655.23,99.02941317343759
12,2500,5,4964598.77,4745225.28,95.58124432279148
12,2500,6,4799786.27,4619552.21,96.24495654886734
12,2500,7,4928738.33,4577630.65,92.87631729477512
12,2500,8,4735086.51,4257884.96,89.92200989375377
12,2500,9,5064782.28,4682405.02,92.45027251201012
12,2500,10,4813103.37,4487558.6,93.23628135582717
12,2500,11,4994257.94,4943908.78,98.99185903882248
12,2500,12,4956217.84,4793812.45,96.72319911588067
12,2500,13,5033409.01,4886809.57,97.08747213451664
12,2500,14,5110405.16,4692143.07,91.81548082970392
12,2500,15,5074085.82,4443227.18,87.56704828457158
12,2500,16,4884929.56,4813397.56,98.53565953978669
12,2500,17,4838460.01,4190424.91,86.60658352738974
12,2500,18,4920402.52,4720929.71,95.94600626291852
12,2500,19,4918408.53,4762545.48,96.83102676304118
12,5000,0,6965443.89,6872491.1,98.66551519949148
12,5000,1,6771635.78,6317888.4,93.29929436931411
12,5000,2,6667414.15,6402807.03,96.03133817628533
12,5000,3,6823560.32,6657361.84,97.56434365337302
12,5000,4,6798218.83,6437132.44,94.6885147561512
12,5000,5,6768566.06,6390614.32,94.41607370527754
12,5000,6,6497608.33,6097191.81,93.83747835105352
12,5000,7,6703922.76,6289143.37,93.81288530836235
12,5000,8,6989842.81,6844611.93,97.92225828323026
12,5000,9,6706028.08,6390946.65,95.30151937568385
12,5000,10,6980082.1,6534418.54,93.61521034258323
12,5000,11,6712703.66,6642582.11,98.95539035310252
12,5000,12,6733197.95,6640140.61,98.61793250857863
12,5000,13,6664460.05,6499737.59,97.52834500073266
12,5000,14,6743102.77,6517328.48,96.65177444715114
12,5000,15,6823216.77,6465223.05,94.75329991604532
12,5000,16,6980823.21,6488531.27,92.94793858559842
12,5000,17,6858499.52,6575040.35,95.8670381302294
12,5000,18,6738620.34,6500805.03,96.47086053226141
12,5000,19,6792790.83,6496580.66,95.63934504369244
