Instance,User,Simulation,B,U,num_rows,density,avg_degree,max_degree,degree_std,D_mean,D_std,D_cv,avg_row_len,max_row_len,row_density,conflict_max,conflict_avg,conflict_std,conflict_pressure,color_clique_max,color_clique_avg,color_clique_std,color_pressure,Backtracking percentiles idx
4,1000,1,500,3512,2000,0.0631983967935872,31.536,85,21.2625657906096,23629.4,19871.3047040195,0.840956803982304,24.304,100,0.00692027334851936,15,6.11884057971015,3.5525567589146,0.25,36,15.9888535031847,8.20836550664264,9.0,6
4,1000,2,500,3656,2000,0.0600320641282565,29.956,81,18.6860927965158,22813.6,17989.5738565429,0.78854603642314,24.458,122,0.0066898249452954,15,6.16239316239316,3.2299098934022,0.25,32,15.1596385542169,7.10093731226593,8.0,6
4,1000,3,500,3992,2000,0.0604408817635271,30.16,77,19.0923649661324,23273.6,19854.8126543659,0.853104489823915,27.614,120,0.00691733466933868,16,5.93465909090909,3.2304909030502,0.266666666666667,35,15.6657754010695,7.02178084369876,8.75,6
4,1000,4,500,3552,2000,0.0601683366733467,30.024,70,18.1844830556164,22613.8,19002.0892156619,0.84028731198038,22.324,79,0.00628490990990991,17,5.84776119402985,3.32751344610604,0.283333333333333,30,14.4247648902821,6.76820530134464,7.5,5
4,1000,5,453,3392,1812,0.0552267088632323,24.962472406181,65,15.3263513735605,21797.0750551876,17876.9799995991,0.820154995766022,20.2185430463576,89,0.00596065537923279,12,5.1910447761194,2.69757942039495,0.2,25,12.4080267558528,5.73267952191262,6.25,5
4,1000,6,500,3692,2000,0.0590701402805611,29.476,83,18.5074423948853,22880.5,19435.9437576363,0.849454503076255,23.204,108,0.00628494041170098,13,5.89565217391304,3.18340055089251,0.216666666666667,33,14.2169390787519,6.46424925391911,8.25,6
4,1000,7,500,3724,2000,0.0608897795591182,30.384,76,18.9037706291629,22840.35,18382.7182600265,0.804835226256448,25.91,126,0.00695757250268528,18,6.12103746397695,3.49842139225531,0.3,36,15.9045521292217,7.68533090654034,9.0,6
4,1000,8,500,3768,2000,0.0637675350701403,31.82,77,20.4371132990939,23704.55,18931.4614609521,0.798642516350325,28.384,134,0.00753290870488323,18,6.43943661971831,3.8709637360718,0.3,34,17.2052023121387,8.46284477714649,8.5,3
4,1000,9,500,3828,2000,0.0576753507014028,28.78,73,18.048368347305,22716.15,19472.6132793601,0.857214505070624,24.538,103,0.00641013584117032,14,5.9135446685879,3.13822135239856,0.233333333333333,33,14.4512022630835,7.07677301998204,8.25,6
4,1000,10,500,3960,2000,0.0588937875751503,29.388,79,19.0436723349253,23531.3,20042.0220489338,0.851717586743348,26.772,133,0.00676060606060606,16,5.98333333333333,3.30063125275555,0.266666666666667,33,15.1783783783784,7.19162933593483,8.25,6
4,1000,11,500,4000,2000,0.0609859719438878,30.432,89,21.8907600598974,22595.25,19033.5286057919,0.842368577722837,28.054,183,0.0070135,14,5.8271954674221,3.05402670313073,0.233333333333333,39,15.96,8.62065736085905,9.75,4
4,1000,12,465,3488,1860,0.0597886540600667,27.741935483871,72,18.1275666189017,23841.5591397849,20257.0985165946,0.849654940678403,23.4838709677419,105,0.00673276117194436,13,5.74336283185841,3.11181617400537,0.216666666666667,31,14.4260450160772,7.24869409136072,7.75,6
